   Epoch 121/250 ( 48.4%) | train loss 0.0546 acc  97.93% | test loss 0.3442 acc  90.20% | best  92.18% | lr 4.9e-04 | time  16.5s                               
   Epoch 122/250 ( 48.8%) | train loss 0.0536 acc  98.08% | test loss 0.3559 acc  90.42% | best  92.18% | lr 4.9e-04 | time  16.5s                               
   Epoch 123/250 ( 49.2%) | train loss 0.0580 acc  97.93% | test loss 0.3505 acc  90.42% | best  92.18% | lr 4.9e-04 | time  16.5s                               
   Epoch 124/250 ( 49.6%) | train loss 0.0561 acc  98.26% | test loss 0.3298 acc  90.64% | best  92.18% | lr 4.9e-04 | time  16.5s                               
   Epoch 125/250 ( 50.0%) | train loss 0.0564 acc  97.83% | test loss 0.3574 acc  91.74% | best  92.18% | lr 4.9e-04 | time  17.0s                               
   Epoch 126/250 ( 50.4%) | train loss 0.0502 acc  97.96% | test loss 0.4126 acc  89.21% | best  92.18% | lr 4.9e-04 | time  17.0s                               
   Epoch 127/250 ( 50.8%) | train loss 0.0434 acc  98.29% | test loss 0.3588 acc  90.86% | best  92.18% | lr 4.9e-04 | time  17.0s                               
   Epoch 128/250 ( 51.2%) | train loss 0.0438 acc  98.39% | test loss 0.3617 acc  91.19% | best  92.18% | lr 4.9e-04 | time  17.1s                               
   Epoch 129/250 ( 51.6%) | train loss 0.0505 acc  98.21% | test loss 0.3242 acc  91.41% | best  92.18% | lr 4.9e-04 | time  17.1s                               
   Epoch 130/250 ( 52.0%) | train loss 0.0542 acc  97.78% | test loss 0.3594 acc  90.75% | best  92.18% | lr 4.9e-04 | time  17.0s                               
   Epoch 131/250 ( 52.4%) | train loss 0.0442 acc  98.26% | test loss 0.3784 acc  90.09% | best  92.18% | lr 4.9e-04 | time  17.1s                               
   Epoch 132/250 ( 52.8%) | train loss 0.0416 acc  98.61% | test loss 0.3463 acc  91.52% | best  92.18% | lr 4.9e-04 | time  17.0s                               
   Epoch 133/250 ( 53.2%) | train loss 0.0488 acc  98.24% | test loss 0.3581 acc  90.53% | best  92.18% | lr 4.9e-04 | time  16.7s                               
   Epoch 134/250 ( 53.6%) | train loss 0.0489 acc  98.14% | test loss 0.3378 acc  91.41% | best  92.18% | lr 4.9e-04 | time  16.6s                               
   Epoch 135/250 ( 54.0%) | train loss 0.0457 acc  98.41% | test loss 0.3296 acc  91.19% | best  92.18% | lr 4.9e-04 | time  16.8s                               
⭐ Epoch 136/250 ( 54.4%) | train loss 0.0469 acc  98.19% | test loss 0.3237 acc  92.29% | best  92.29% | lr 4.9e-04 | time  17.4s                               
   Epoch 137/250 ( 54.8%) | train loss 0.0490 acc  98.16% | test loss 0.3578 acc  91.08% | best  92.29% | lr 4.9e-04 | time  17.3s                               
   Epoch 138/250 ( 55.2%) | train loss 0.0420 acc  98.36% | test loss 0.3856 acc  89.76% | best  92.29% | lr 4.9e-04 | time  16.5s                               
   Epoch 139/250 ( 55.6%) | train loss 0.0429 acc  98.44% | test loss 0.3407 acc  90.53% | best  92.29% | lr 4.9e-04 | time  16.5s                               
   Epoch 140/250 ( 56.0%) | train loss 0.0433 acc  98.39% | test loss 0.3309 acc  89.87% | best  92.29% | lr 4.9e-04 | time  15.1s                               
   Epoch 141/250 ( 56.4%) | train loss 0.0553 acc  98.03% | test loss 0.3796 acc  90.31% | best  92.29% | lr 4.9e-04 | time  14.7s                               
   Epoch 142/250 ( 56.8%) | train loss 0.0509 acc  98.16% | test loss 0.3592 acc  90.64% | best  92.29% | lr 4.9e-04 | time  14.7s                               
